diviziune,grupa,clasa,denumire,nivel
1,289,2896,Fabricarea utilajelor pentru prelucrarea maselor plastice si a cauciucului,3
1,289,2897,Fabricarea masinilor si utilajelor pentru fabricatia aditiva (care utilizeaza tehnologia de fabricatie aditiva),3
1,289,2899,"Fabricarea altor masini si utilaje specifice n.c.a. 29 Fabricarea autovehiculelor de transport rutier, a remorcilor si semiremorcilor",3
1,291,,Fabricarea autovehiculelor de transport rutier,2
1,291,2910,Fabricarea autovehiculelor de transport rutier,3
1,292,,Productia de caroserii pentru autovehicule; fabricarea de remorci si semiremorci,2
1,292,2920,Productia de caroserii pentru autovehicule; fabricarea de remorci si semiremorci,3
1,293,,Productia de piese si accesorii pentru autovehicule si pentru motoare de autovehicule,2
1,293,2931,Fabricarea de echipamente electrice si electronice pentru autovehicule si pentru motoare de autovehicule,3
1,293,2932,Fabricarea altor piese si accesorii pentru autovehicule si pentru motoare de autovehicule 30 Fabricarea altor mijloace de transport,3
1,301,,Constructia de nave si barci,2
1,301,3011,Constructia de nave civile si structuri plutitoare,3
1,301,3012,Constructia de ambarcatiuni sportive si de agrement,3
1,301,3013,Constructia de nave si vase militare,3
1,302,,Fabricarea materialului rulant,2
1,302,3020,Fabricarea materialului rulant,3
1,303,,Fabricarea de aeronave si nave spatiale,2
1,303,3031,"Fabricarea de aeronave si nave spatiale, civile",3
1,303,3032,"Fabricarea de aeronave si nave spatiale, militare 11 11",3
1,304,,Fabricarea vehiculelor militare de lupta,2
1,304,3040,Fabricarea vehiculelor militare de lupta,3
1,309,,Fabricarea altor echipamente de transport n.c.a.,2
1,309,3091,Fabricarea de motociclete,3
1,309,3092,Fabricarea de biciclete si de de vehicule pentru invalizi,3
1,309,3099,Fabricarea altor mijloace de transport n.c.a. 31 Fabricarea de mobila,3
1,310,,Fabricarea de mobila,2
1,310,3100,Fabricarea de mobila 32 Alte activitati industriale,3
1,321,,"Fabricarea bijuteriilor, imitatiilor de bijuterii si articolelor similare",2
1,321,3211,Baterea monedelor,3
1,321,3212,Fabricarea bijuteriilor si articolelor similare din metale si pietre pretioase,3
1,321,3213,Fabricarea imitatiilor de bijuterii si articole similare,3
1,322,,Fabricarea instrumentelor muzicale,2
1,322,3220,Fabricarea instrumentelor muzicale,3
1,323,,Fabricarea articolelor pentru sport,2
1,323,3230,Fabricarea articolelor pentru sport,3
1,324,,Fabricarea jocurilor si jucariilor,2
1,324,3240,Fabricarea jocurilor si jucariilor,3
1,325,,"Fabricarea de dispozitive, aparate si instrumente medicale si stomatologice",2
1,325,3250,"Fabricarea de dispozitive, aparate si instrumente medicale stomatologice",3
1,329,,Alte activitati industriale,2
1,329,3291,Fabricarea maturilor si periilor,3
1,329,3299,"Fabricarea altor produse manufacturiere n.c.a. 33 Repararea, intretinerea si instalarea masinilor si echipamentelor",3
1,331,,"Repararea si intretinerea articolelor fabricate din metal, a masinilor si echipamentelor",2
1,331,3311,Repararea si intretinerea articolelor fabricate din metal,3
1,331,3312,Repararea si intretinerea masinilor,3
1,331,3313,Repararea si intretinerea echipamentelor electronice si optice,3
1,331,3314,Repararea si intretinerea echipamentelor electrice,3
1,331,3315,"Repararea si intretinerea navelor si barcilor, civile",3
1,331,3316,"Repararea si intretinerea aeronavelor si navelor spatiale, civile",3
1,331,3317,Repararea si intretinerea altor echipamente civile de transport n.c.a.,3
1,331,3318,"Repararea si intretinerea vehiculelor militare de lupta, a navelor, vaselor, aeronavelor si navelor spatiale, militare",3
1,331,3319,Repararea si intretinerea altor echipamente,3
1,332,,Instalarea masinilor si echipamentelor industriale,2
1,332,3320,"Instalarea masinilor si echipamentelor industriale 12 12 SECTIUNEA D - PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA, GAZE, APA CALDA SI AER CONDITIONAT 35 Productia si furnizarea de energie electrica si termica, gaze, apa calda si aer conditionat",3
1,351,,"Productia, transportul si distributia energiei electrice",2
1,351,3511,Productia de energie electrica din resurse neregenerabile,3
1,351,3512,Productia de energie electrica din resurse regenerabile,3
1,351,3513,Transportul energiei electrice,3
1,351,3514,Distributia energiei electrice,3
1,351,3515,Comercializarea energiei electrice,3
1,351,3516,Depozitarea energiei electrice,3
1,352,,Productia gazelor; distributia combustibililor gazosi prin conducte,2
1,352,3521,Productia gazelor,3
1,352,3522,"Distributia combustibililor gazosi, prin conducte",3
1,352,3523,"Comercializarea combustibililor gazosi, prin conducte",3
1,352,3524,"Depozitarea gazelor, ca parte a serviciilor de furnizare",3
1,353,,Furnizarea de abur si aer conditionat,2
1,353,3530,Furnizarea de abur si aer conditionat,3
1,354,,Activitati ale agentilor si brokerilor din domeniul energiei electrice si a gazelor naturale,2
1,354,3540,"Activitati ale agentilor si brokerilor din domeniul energiei electrice si a gazelor naturale SECTIUNEA E - DISTRIBUTIA APEI; SALUBRITATE, GESTIONAREA DESEURILOR, ACTIVITATI DE DECONTAMINARE 36 Captarea, tratarea si distributia apei",3
1,360,,"Captarea, tratarea si distributia apei",2
